timestamp,heart_rate,hrv
2026-09-21T09:00:00,70.4,63.1
2026-09-21T09:01:00,69.3,63.9
2026-09-21T09:02:00,70.7,65.7
2026-09-21T09:03:00,71.2,63.3
2026-09-21T09:04:00,69.8,63.1
2026-09-21T09:05:00,69.2,65.0
2026-09-21T09:06:00,68.6,63.8
2026-09-21T09:07:00,70.4,65.2
2026-09-21T09:08:00,69.2,65.4
2026-09-21T09:09:00,70.9,63.0
2026-09-21T09:10:00,70.9,65.8
2026-09-21T09:11:00,69.5,63.6
2026-09-21T09:12:00,71.4,64.3
2026-09-21T09:13:00,68.8,63.4
2026-09-21T09:14:00,71.0,65.4
2026-09-21T09:15:00,70.9,65.9
2026-09-21T09:16:00,70.1,66.9
2026-09-21T09:17:00,69.6,65.2
2026-09-21T09:18:00,71.0,65.5
2026-09-21T09:19:00,71.1,65.3
2026-09-21T09:20:00,70.6,63.2
2026-09-21T09:21:00,69.2,64.2
2026-09-21T09:22:00,68.7,63.9
2026-09-21T09:23:00,68.8,64.1
2026-09-21T09:24:00,70.4,64.5
2026-09-21T09:25:00,69.6,63.8
2026-09-21T09:26:00,69.3,66.7
2026-09-21T09:27:00,70.4,65.4
2026-09-21T09:28:00,69.0,65.9
2026-09-21T09:29:00,69.0,64.5
2026-09-21T09:30:00,71.5,65.6
2026-09-21T09:31:00,70.2,65.7
2026-09-21T09:32:00,71.0,66.1
2026-09-21T09:33:00,69.2,63.1
2026-09-21T09:34:00,69.4,64.1
2026-09-21T09:35:00,69.1,66.8
2026-09-21T09:36:00,71.1,64.3
2026-09-21T09:37:00,70.5,64.6
2026-09-21T09:38:00,71.2,64.8
2026-09-21T09:39:00,69.3,64.0
2026-09-21T09:40:00,70.2,64.1
2026-09-21T09:41:00,70.3,66.6
2026-09-21T09:42:00,69.7,63.9
2026-09-21T09:43:00,71.5,65.0
2026-09-21T09:44:00,68.8,63.2
2026-09-21T09:45:00,68.8,65.5
2026-09-21T09:46:00,70.9,64.7
2026-09-21T09:47:00,68.7,64.5
2026-09-21T09:48:00,71.5,65.1
2026-09-21T09:49:00,71.4,66.4
2026-09-21T09:50:00,68.5,65.9
2026-09-21T09:51:00,70.5,65.1
